NOTE  60 1.0 beat1
    0.0   mnote 63 55 ""0.0.445"" 1
    0.0   mnote 72 55 ""0.0.445"" 1
    0.0   mnote 56 55 ""0.0.445"" 1
    0.0   mnote 65 55 ""0.0.445"" 1
    0.0   mnote 29 88 ""0.0.445"" 1
    0.0   mnote 53 59 ""0.0.440"" 1
    0.0   mnote 56 100 ""0.0.246"" 2
    0.0   mnote 12 100 ""0.0.74"" 16
    0.15337424   mnote 5 101 ""0.0.589"" 15
    0.0   mnote 5 101 ""0.0.333"" 16
    0.12576688   mnote 58 118 ""0.0.252"" 2
    0.297546   mnote 63 49 ""0.0.168"" 1
    0.0   mnote 72 49 ""0.0.168"" 1
    0.0   mnote 56 49 ""0.0.168"" 1
    0.0   mnote 65 49 ""0.0.168"" 1
    0.0   mnote 36 78 ""0.0.85"" 1
NOTE  60 1.0 beat2
    0.0   mnote 12 100 ""0.0.74"" 16
    0.10429448   mnote 63 49 ""0.0.537"" 1
    0.0   mnote 72 49 ""0.0.537"" 1
    0.0   mnote 56 49 ""0.0.537"" 1
    0.0   mnote 65 49 ""0.0.537"" 1
    0.0   mnote 36 82 ""0.0.739"" 1
    0.049079754   mnote 5 101 ""0.0.589"" 15
    0.0   mnote 5 101 ""0.0.333"" 16
    0.1380368   mnote 60 127 ""0.0.206"" 2
NOTE  60 1.0 beat3
    0.0   mnote 12 100 ""0.0.74"" 16
    0.15337424   mnote 5 101 ""0.0.589"" 15
    0.0   mnote 5 101 ""0.0.333"" 16
    0.13190185   mnote 53 98 ""0.0.268"" 2
    0.3006135   mnote 63 61 ""0.0.823"" 1
    0.0   mnote 72 61 ""0.0.823"" 1
    0.0   mnote 56 61 ""0.0.823"" 1
    0.0   mnote 65 61 ""0.0.823"" 1
    0.0   mnote 41 69 ""0.0.68"" 1
NOTE  60 1.0 beat4
    0.0   mnote 12 100 ""0.0.74"" 16
    0.12883435   mnote 41 91 ""0.0.671"" 1
    0.021472393   mnote 53 59 ""0.0.671"" 1
    0.0030674846   mnote 5 101 ""0.0.589"" 15
    0.0   mnote 5 101 ""0.0.333"" 16
    0.09202454   mnote 58 105 ""0.0.330"" 2
NOTE  60 1.0 beat5
    0.0   mnote 12 100 ""0.0.74"" 16
    0.049079754   mnote 60 127 ""0.0.160"" 2
    0.10429448   mnote 5 101 ""0.0.589"" 15
    0.0   mnote 5 101 ""0.0.333"" 16
    0.45398772   mnote 36 76 ""0.0.80"" 1
    0.021472393   mnote 72 59 ""0.0.208"" 1
    0.25460124   mnote 61 114 ""0.0.199"" 2
NOTE  60 1.0 beat6
    0.0   mnote 12 100 ""0.0.74"" 16
    0.12269939   mnote 59 60 ""0.0.448"" 1
    0.0   mnote 68 60 ""0.0.448"" 1
    0.0   mnote 53 60 ""0.0.448"" 1
    0.0   mnote 63 60 ""0.0.449"" 1
    0.015337423   mnote 49 59 ""0.0.440"" 1
    0.006134969   mnote 37 86 ""0.0.209"" 1
    0.009202454   mnote 5 101 ""0.0.589"" 15
    0.0   mnote 5 101 ""0.0.333"" 16
    0.5460123   mnote 37 82 ""0.0.160"" 1
    0.19325154   mnote 60 127 ""0.0.115"" 2
NOTE  60 1.0 beat7
    0.0   mnote 12 100 ""0.0.74"" 16
    0.116564416   mnote 62 55 ""0.0.448"" 1
    0.0   mnote 58 55 ""0.0.448"" 1
    0.0   mnote 55 55 ""0.0.448"" 1
    0.0   mnote 51 55 ""0.0.448"" 1
    0.0   mnote 36 94 ""0.0.396"" 1
    0.021472393   mnote 48 55 ""0.0.437"" 1
    0.015337423   mnote 1 102 ""0.0.589"" 15
    0.0   mnote 1 102 ""0.0.333"" 16
    0.058282208   mnote 58 83 ""0.0.246"" 2
    0.6564417   mnote 56 91 ""0.0.153"" 2
NOTE  60 1.0 beat8
    0.0   mnote 12 100 ""0.0.74"" 16
    0.12576688   mnote 60 55 ""0.0.892"" 1
    0.0   mnote 56 55 ""0.0.892"" 1
    0.0   mnote 65 55 ""0.0.892"" 1
    0.0   mnote 51 55 ""0.0.892"" 1
    0.0   mnote 41 94 ""0.0.358"" 1
    0.027607363   mnote 0 101 ""0.0.589"" 15
    0.0   mnote 0 101 ""0.0.333"" 16
    0.018404909   mnote 53 55 ""0.0.870"" 1
    0.15644172   mnote 55 93 ""0.0.208"" 2
    0.5981595   mnote 56 105 ""0.0.124"" 2
NOTE  60 1.0 beat9
    0.0   mnote 12 100 ""0.0.74"" 16
    0.1411043   mnote 48 97 ""0.0.347"" 1
    0.012269938   mnote 5 101 ""0.0.589"" 15
    0.0   mnote 5 101 ""0.0.333"" 16
    0.1411043   mnote 58 98 ""0.0.230"" 2
    0.5613497   mnote 66 123 ""0.0.160"" 2
NOTE  60 1.0 beat10
    0.0   mnote 12 100 ""0.0.74"" 16
    0.1380368   mnote 53 55 ""0.0.449"" 1
    0.0   mnote 62 55 ""0.0.449"" 1
    0.0   mnote 57 55 ""0.0.449"" 1
    0.0   mnote 38 92 ""0.0.340"" 1
    0.015337423   mnote 5 101 ""0.0.589"" 15
    0.0   mnote 5 101 ""0.0.333"" 16
    0.006134969   mnote 50 55 ""0.0.439"" 1
    0.14417178   mnote 65 100 ""0.0.159"" 2
    0.4815951   mnote 26 85 ""0.0.115"" 1
